Condition,V_T_step,V_T,R_q025,R_q05,R_median,R_q95,R_q975,R_q99
C0,0.32,15.62,0.8790858842122115,0.9049538648313324,1.0059695746164061,1.099933850962489,1.1204266454232126,1.1398833404301514
C0,0.33,16.105,0.8717526579645419,0.9012115104910613,1.0053089683819023,1.1025996310576347,1.1234923132958468,1.147191496549518
C0,0.34,16.59,0.8655228428670656,0.8989075857779733,1.005295097430509,1.109111933040808,1.1281524678478645,1.1544138249434839
C0,0.35,17.075,0.8638893666670805,0.8926838200605806,1.0068925204024224,1.1135216153337433,1.1355285687848227,1.1636005147444966
C0,0.36,17.56,0.85429455671918,0.8881822975735887,1.0073063949997172,1.1219060675716803,1.1444742895359798,1.173960408685316
C0,0.37,18.045,0.8496743080446039,0.8837723109228485,1.0066479969705777,1.1285784854333243,1.1545130079336312,1.1816399222730332
C0,0.38,18.53,0.8396601000528399,0.8808250308817638,1.006539379645442,1.136013936930673,1.165170042176066,1.1919120969067685
C0,0.39,19.015,0.8403439349783063,0.8756585491595504,1.0076064251403507,1.1465578190330568,1.167689347757205,1.2031856594937778
C0,0.4,19.5,0.8315715349301096,0.868256539595365,1.007434955253956,1.1538434184792272,1.1832476286667293,1.2194747985457282
C0,0.41,19.985,0.8285638129848725,0.8658969179056747,1.0087706763848903,1.157115927435818,1.1898467546299034,1.2304193425059056
C0,0.42,20.47,0.8219156032324028,0.8574050451818387,1.0071877166755507,1.1675364845876672,1.1992901384484,1.2467254850537628
C0,0.43,20.955,0.8200911549381207,0.8555156409390963,1.0073981246682786,1.1734092115350592,1.2162692167502351,1.254505332862408
C0,0.44,21.44,0.8087045851964675,0.8490642366039982,1.0099363909862962,1.1929284665961597,1.227071014254956,1.2917252789446538
C0,0.45,21.925,0.8000114603502042,0.8437734841404565,1.00893983199399,1.2048101804100393,1.243362439463357,1.3060098604249981
C0,0.46,22.41,0.7967935363870395,0.8344800379921088,1.006690099463865,1.21322139469475,1.2560977746988224,1.3141185641538748
C0,0.47,22.895,0.793032159504414,0.8328460424747397,1.0099130483164511,1.2227958803397811,1.2692493941365046,1.31934632078003
C0,0.48,23.38,0.786258987298586,0.8248335908518974,1.0081797089515354,1.2408882434626143,1.2811515969410705,1.3390584423932326
C0,0.49,23.865,0.7809736758484269,0.8159833537501845,1.0122302638233402,1.2412132617479383,1.2999406659215411,1.3644683075443884
C0,0.5,24.35,0.7734664526658431,0.8111900242379784,1.0175900370484827,1.2607292521392568,1.3100883409170834,1.3822112103641353
C0,0.51,24.835,0.7645674418077216,0.8037386843453703,1.0104294960333884,1.2678743848136864,1.3209441645183968,1.398987958201795
C0,0.52,25.32,0.7494748848565704,0.7983935507798013,1.0158555194637438,1.271136960962285,1.350912411430579,1.4176099191991527
C0,0.53,25.805,0.7499729416910008,0.795262819011941,1.007953255544458,1.2856596626913694,1.3746609047384526,1.4499074093782591
C0,0.54,26.29,0.7492212704416509,0.7884839994928214,1.0105539950062423,1.308105910176934,1.379709312223357,1.459574645275137
C1,0.14,6.89,0.9460839768952557,0.9542484248737424,0.9994571751942766,1.047883933753088,1.0559064559575428,1.0647899413054487
C1,0.15,7.375,0.9459086903062238,0.9534547689169447,0.9993112901622793,1.0488844232274461,1.0567042150125,1.0659735349716446
C1,0.16,7.86,0.944632026203674,0.9529365652178192,0.999105518798764,1.0504447036610267,1.0598993041184432,1.0694080033178603
C1,0.17,8.345,0.9427142630409018,0.9516067668927607,0.9991769279620009,1.0514702866529606,1.0624882351760505,1.07230510531204
C1,0.18,8.83,0.9419623066596461,0.9509003942593811,0.9988135694970445,1.0532571393200472,1.0633742433298867,1.073541083205403
C1,0.19,9.315,0.9390267169795513,0.9490789241885237,0.9994131786738286,1.055594580486192,1.0669233629475887,1.0797806360572362
C1,0.2,9.8,0.9366578944093525,0.9461996927958117,0.999073120482638,1.0574300770207166,1.0706216936377497,1.0830744386841507
C1,0.21,10.285,0.9337825596062065,0.9444318363996631,0.9987084966723827,1.0591659490854082,1.0711655529371509,1.0870743238285983
